Title,Description,RDataPath,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass
Tonsil Atlas RNA CD8-T rowData,Gene annotation for the Tonsil Cell Atlas CD8-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD8-T_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA CD8-T PCA,PCA representation for the Tonsil Cell Atlas CD8-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD8-T_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA CD8-T HARMONY,HARMONY representation for the Tonsil Cell Atlas CD8-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD8-T_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA CD8-T UMAP,UMAP representation for the Tonsil Cell Atlas CD8-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD8-T_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA epithelial colData,Cell metadata for the Tonsil Cell Atlas epithelial scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/epithelial_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA epithelial counts,Count matrix for the Tonsil Cell Atlas epithelial scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/epithelial_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA epithelial processed counts,Processed count matrix for the Tonsil Cell Atlas epithelial scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/epithelial_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA epithelial rowData,Gene annotation for the Tonsil Cell Atlas epithelial scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/epithelial_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA epithelial PCA,PCA representation for the Tonsil Cell Atlas epithelial scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/epithelial_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA epithelial HARMONY,HARMONY representation for the Tonsil Cell Atlas epithelial scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/epithelial_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA epithelial UMAP,UMAP representation for the Tonsil Cell Atlas epithelial scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/epithelial_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA FDC colData,Cell metadata for the Tonsil Cell Atlas FDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/FDC_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA FDC counts,Count matrix for the Tonsil Cell Atlas FDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/FDC_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA FDC processed counts,Processed count matrix for the Tonsil Cell Atlas FDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/FDC_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA FDC rowData,Gene annotation for the Tonsil Cell Atlas FDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/FDC_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA FDC PCA,PCA representation for the Tonsil Cell Atlas FDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/FDC_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA FDC HARMONY,HARMONY representation for the Tonsil Cell Atlas FDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/FDC_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA FDC UMAP,UMAP representation for the Tonsil Cell Atlas FDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/FDC_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA GCBC colData,Cell metadata for the Tonsil Cell Atlas GCBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/GCBC_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA GCBC counts,Count matrix for the Tonsil Cell Atlas GCBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/GCBC_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA GCBC processed counts,Processed count matrix for the Tonsil Cell Atlas GCBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/GCBC_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA GCBC rowData,Gene annotation for the Tonsil Cell Atlas GCBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/GCBC_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA GCBC PCA,PCA representation for the Tonsil Cell Atlas GCBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/GCBC_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA GCBC HARMONY,HARMONY representation for the Tonsil Cell Atlas GCBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/GCBC_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA GCBC UMAP,UMAP representation for the Tonsil Cell Atlas GCBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/GCBC_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA ILC-NK colData,Cell metadata for the Tonsil Cell Atlas ILC-NK scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/ILC-NK_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA ILC-NK counts,Count matrix for the Tonsil Cell Atlas ILC-NK scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/ILC-NK_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA ILC-NK processed counts,Processed count matrix for the Tonsil Cell Atlas ILC-NK scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/ILC-NK_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA ILC-NK rowData,Gene annotation for the Tonsil Cell Atlas ILC-NK scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/ILC-NK_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA ILC-NK PCA,PCA representation for the Tonsil Cell Atlas ILC-NK scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/ILC-NK_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA ILC-NK HARMONY,HARMONY representation for the Tonsil Cell Atlas ILC-NK scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/ILC-NK_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA ILC-NK UMAP,UMAP representation for the Tonsil Cell Atlas ILC-NK scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/ILC-NK_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA myeloid colData,Cell metadata for the Tonsil Cell Atlas myeloid scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/myeloid_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA myeloid counts,Count matrix for the Tonsil Cell Atlas myeloid scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/myeloid_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA myeloid processed counts,Processed count matrix for the Tonsil Cell Atlas myeloid scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/myeloid_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA myeloid rowData,Gene annotation for the Tonsil Cell Atlas myeloid scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/myeloid_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA myeloid PCA,PCA representation for the Tonsil Cell Atlas myeloid scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/myeloid_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA myeloid HARMONY,HARMONY representation for the Tonsil Cell Atlas myeloid scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/myeloid_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA myeloid UMAP,UMAP representation for the Tonsil Cell Atlas myeloid scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/myeloid_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA NBC-MBC colData,Cell metadata for the Tonsil Cell Atlas NBC-MBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/NBC-MBC_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA NBC-MBC counts,Count matrix for the Tonsil Cell Atlas NBC-MBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/NBC-MBC_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA NBC-MBC processed counts,Processed count matrix for the Tonsil Cell Atlas NBC-MBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/NBC-MBC_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA NBC-MBC rowData,Gene annotation for the Tonsil Cell Atlas NBC-MBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/NBC-MBC_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA NBC-MBC PCA,PCA representation for the Tonsil Cell Atlas NBC-MBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/NBC-MBC_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA NBC-MBC HARMONY,HARMONY representation for the Tonsil Cell Atlas NBC-MBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/NBC-MBC_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA NBC-MBC UMAP,UMAP representation for the Tonsil Cell Atlas NBC-MBC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/NBC-MBC_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA PC colData,Cell metadata for the Tonsil Cell Atlas PC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PC_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA PC counts,Count matrix for the Tonsil Cell Atlas PC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PC_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA PC processed counts,Processed count matrix for the Tonsil Cell Atlas PC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PC_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA PC rowData,Gene annotation for the Tonsil Cell Atlas PC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PC_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA PC PCA,PCA representation for the Tonsil Cell Atlas PC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PC_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA PC HARMONY,HARMONY representation for the Tonsil Cell Atlas PC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PC_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA PC UMAP,UMAP representation for the Tonsil Cell Atlas PC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PC_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA PDC colData,Cell metadata for the Tonsil Cell Atlas PDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PDC_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA PDC counts,Count matrix for the Tonsil Cell Atlas PDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PDC_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA PDC processed counts,Processed count matrix for the Tonsil Cell Atlas PDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PDC_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA PDC rowData,Gene annotation for the Tonsil Cell Atlas PDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PDC_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA PDC PCA,PCA representation for the Tonsil Cell Atlas PDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PDC_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA PDC HARMONY,HARMONY representation for the Tonsil Cell Atlas PDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PDC_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA PDC UMAP,UMAP representation for the Tonsil Cell Atlas PDC scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/PDC_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA preB colData,Cell metadata for the Tonsil Cell Atlas preB scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/preB_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA preB counts,Count matrix for the Tonsil Cell Atlas preB scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/preB_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA preB processed counts,Processed count matrix for the Tonsil Cell Atlas preB scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/preB_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA preB rowData,Gene annotation for the Tonsil Cell Atlas preB scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/preB_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
