"annotation_level_1" "annotation_detailed" "description" "marker_genes" "related_refs" "umap_png" "related_cell_ontology"
"T Trans-Mem" "CD4_T" "T Trans-Mem" "Transitional memory T cells appear to be more differentiated than TCM cells but not as fully differentiated as TEM cells in terms of phenotype. This cluster had higher levels of IL7R, CD28, CCR6, RORA and lower KLRB1. This cluster was CD62L-, CD45RO+ and CD28+ (Mahnke et al., 2013)." "IL7R,CD28,CCR6,RORA,KLRB1" "Mahnke2013|10.1002/eji.201343751" "cd4_t_umap.png" NA
"T-Eff-Mem" "CD4_T" "T-Eff-Mem" "Following antigen clearance, effector cells die while a small pool of T cells ultimately develops into long-lived effector memory T cells. This cluster was positive for KLRB1, HECW2, and EGLN3. The phenotype of this cluster included CD45R0+, CD161+ and CD62L- (Cano-Gamez et al., 2020; Mahnke et al., 2013)." "KLRB1,HECW2,EGLN3" "Cano-Gamez2020|10.1038/s41467-020-15543-y;Mahnke2013|10.1002/eji.201343751" "cd4_t_umap.png" NA
"T-helper" "CD4_T" "T-helper" "T helper cells play a critical role in defending infections by coordinating immune responses. CD4 T cells execute their functions mainly in peripheral tissues and various lymphoid organs. CD4 T cells receive signals from the environment and differentiate into specific subsets of T helper cells to efficiently recognize a broad range of antigens (Zhu and Zhu, 2020)." "IL17A,CCL4,IL26,CCL20,CXCR6" "Zhu2020|10.3390/ijms21218011" "cd4_t_umap.png" NA
"Th1" "CD4_T" "Th1" "Th1 cells induce responses against intracellular pathogens by activating macrophages. This cluster expressed CXCR3, TBX21, GZMK and CCR5, main markers of Th1 cells (Krueger et al., 2021)." "CXCR3,TBX21,GZMK,CCR5" "Krueger2021|10.1016/j.immuni.2021.03.006" "cd4_t_umap.png" NA
"Th2" "CD4_T" "Th2" "Th2 cells are involved in type 2 responses to fight infections by parasites such as helminths, as well as the recruitment of eosinophils, basophils, and mast cells to the sites of infections. This cluster had higher expression of CCR4, GATA3, IL17RB and IL4IL (Cano-Gamez et al., 2020; Stark et al., 2019)." "CCR4,GATA3,IL17RB,IL4IL" "Cano-Gamez2020|10.1038/s41467-020-15543-y;Stark2019|10.3389/fimmu.2019.02318" "cd4_t_umap.png" NA
"Th17" "CD4_T" "Th17" "Th17 cells mediate responses for the clearance of extracellular bacteria and fungi by orchestrating sustained neutrophil recruitment. This cluster had higher expression of CCR6, RORC, IL17A and IL17F (Ma et al., 2016)." "CCR6,RORC,IL17A,IL17F" "Ma2016|10.1084/jem.20151467" "cd4_t_umap.png" NA
"Th17/Th1" "CD4_T" "Th17/Th1" "Th17 cells can convert to Th1 cells based on the cytokine environment. This cluster had expressions of IFNG, IL26 and IL17A (Damsker et al., 2010)." "IFNG,IL26,IL17A" "Damsker2010|10.1111/j.1749-6632.2009.05133.x" "cd4_t_umap.png" NA
"Th22" "CD4_T" "Th22" "Th22 cells are players in adaptive immune responses and are identified by the production of IL-22. This cluster had higher levels of IL22, IL10 and TNF (Jia and Wu, 2014)." "IL22,IL10,TNF" "Jia2014|10.1007/978-94-017-9487-9_8" "cd4_t_umap.png" NA
"Eff-Tregs" "CD4_T" "Eff-Tregs" "Effector T regulatory cells play an important role in maintaining the homeostasis in tissues and control immune responses. This cluster is the classical Treg subpopulation that expresses IL2RA, CTLA4, IL1R1, IL1R2 and IL10 and specific transcription factors FOXP3, MAF, IKZF1 and IKZF3, and it is CD25+ and CD28+ (Du et al., 2021)." "IL2RA,CTLA4,IL1R1,IL1R2,IL10" "Du2021|10.1007/978-981-15-6407-9_1" "cd4_t_umap.png" NA
"Eff-Tregs-IL32" "CD4_T" "Eff-Tregs-IL32" "This cluster had a similar profile of Eff-Tregs, it showed a distinct transcriptional signature, with overexpression of several suppressive effectors, but also proinflammatory molecules like IL32. This cluster had as top genes: IL32, FOXP3, CTLA4, IL2RA and IKZF2 (Galván-Peña et al., 2021)." "IL32,FOXP3,CTLA4,IL2RA,IKZF2" "Galván-Peña2021|10.1073/pnas.2111315118" "cd4_t_umap.png" NA
"Tfr" "CD4_T" "Tfr" "T-follicular regulatory cells in the tonsils are CD25-. These cells down-regulate effector Treg markers (IL2RA, FOXP3, CTLA4). This cluster expressed high levels of FCRL3, CLNK, LEF1, TCF7, RBMS3, SESN3, and PDE3B. The top marker FCRL3 can bind secretory IgA to suppress the Tfr inhibitory function. TCF7 and LEF1 are essential for Tfr development in mice (Wing et al., 2017; Agarwal et al., 2020 ; Yang et al., 2019)." "FCRL3,CLNK,LEF1,TCF7,RBMS3,SESN3,PDE3B" "Wing2017|10.1073/pnas.1705551114;Agarwal2020|10.1016/j.celrep.2019.12.099;Yang2019|10.1016/j.celrep.2019.05.061" "cd4_t_umap.png" NA
"Cycling T" "CD4_T" "Cycling T" "This cluster is a T cell cluster (CD3+) that had a higher score of cell cycle and had higher expression of cell cycle genes: STMN1, HIST1H4C, TUBA1B, HMGB2, MKI67, TOP2A and TUBB. As we observed that the proliferative signature was a major driver of variance in scRNA-seq data, which caused (1) cells from different lineages to cluster together and (2) hindered biological heterogeneity in the other cluster. Thus we show this population in Figure 1B, but exclude it from downstream analysis. A cluster of cycling T was also observed in (King et al., 2021)." "CD3D,STMN1,HIST1H4C,TUBA1B,HMGB2,MKI67,TOP2A,TUBB" "King2021|10.1126/sciimmunol.abe6291" "cd4_t_umap.png" NA
"Naive CD8 T" "Cytotoxic" "Naive CD8 T" "Naive cell is a CD8 T cell that recently migrates from the thymus towards lymph nodes. This cluster expressed BACH2, LEF1, NOSIP and CCR7. Also, this cluster was CD45RA+ (Mahnke et al. 2013)." "BACH2,LEF1,NOSIP,CCR7" "Mahnke2013|10.1002/eji.201343751" "cytotoxic_umap.png" NA
"SCM CD8 T" "Cytotoxic" "SCM CD8 T" "Stem-cell memory T cells self-renew and generate long-lived central memory T cells and short-lived effector memory T cells. Differential expression analysis reveals these genes as the main markers: FAM117B, TCF7, TSHZ2 and PLAC8. This population was CD95+ and CXCR3+ (Galletti et al., 2020; Gattinoni et al. 2011)." "FAM117B,TCF7,TSHZ2,PLAC8" "Galletti2020|10.1038/s41590-020-0791-5;Gattinoni2011|10.1038/nm.2446" "cytotoxic_umap.png" NA
"CM CD8 T" "Cytotoxic" "CM CD8 T" "CM CD8 T cells acquire memory (marked by IL7R+) while maintaining lymph node homing capacity (CCR7+). CM expressed higher levels of IL7R compared to naïve T cells, and higher expression of ANXA1 and S100A4. They had an intermediate expression of CCR7 and a higher expression of CD28. This cluster was CD45RO+, and CD28+ (Mahnke et al. 2013)." "IL7R,ANXA1,S100A4,CCR7,CD28" "Mahnke2013|10.1002/eji.201343751" "cytotoxic_umap.png" NA
"RM CD8 T" "Cytotoxic" "RM CD8 T" "Resident memory T cells (TRM) are essential for immune defense against pathogens and malignancies. The unique identity of TRM cells in tissues is defined by a combination of decreased expression of proteins that facilitate their exit from tissues and increased expression of proteins that enhance their ability to stay in tissues (e.g. CD103 and CD49a). A pool of TRM-poised cells generate RM CD8 T cells within the tonsil compartment. The main gen markers of this cluster are: CD69, EOMES, ZEB2, ITGA1 and TOX, and CD69+ (Kok et al., 2022)." "CD69,EOMES,ZEB2,ITGA1,TOX" "Kok2022|10.1038/s41577-021-00590-3" "cytotoxic_umap.png" NA
"RM CD8 activated T" "Cytotoxic" "RM CD8 activated T" "This cluster had a similar profile of RM T cells but it had higher expression of GZMH, CCL5, GZMA, GZMK, CXCR6, HLA-DRB1, HLA-DPA1 and CD38. These markers showed an activated profile of these RM CD8 T cells. Also, It was positive for CD103 and CD54. Intriguingly, this cluster had a lower expression of CD69 compared with the other RM subset (Kok et al., 2022; Walsh et al., 2019)." "ITGA1,GZMH,CCL5,GZMA,GZMK,CXCR6,HLA-DRB1,HLA-DPA1,CD38" "Kok2022|10.1038/s41577-021-00590-3;Walsh2019|10.4049/jimmunol.1900052" "cytotoxic_umap.png" NA
"EM CD8 T" "Cytotoxic" "EM CD8 T" "This cluster is CCR7- and expresses high levels of CX3CR1, TBX21 (Gerlach et al., 2016), and multiple cytotoxicity genes, including GZMB, GZMH, GZMA, PRF1, and GNLY. TBX21 and EOMES motifs are highly active in this cluster (scATAC-seq data)." "CX3CR1,TBX21,GZMB,GZMH,GZMA,PRF1,GNLY" "Gerlach2016|10.1016/j.immuni.2016.10.018" "cytotoxic_umap.png" NA
"CD8 Tf" "Cytotoxic" "CD8 Tf" "CD8+ T cells located within the lymphoid follicle are follicular CD8+ T cells that play an important role in viral and tumor control, as well as to modulate humoral and T follicular helper cell responses. This cluster expressed high levels of CD200, CXCL13, ICOS, PDCD1 and IFNG, and it was CXCR5+, PD-1+ and ICOS+ (Perdomo-Celis et al., 2017)." "CXCL13,PDCD1,ICOS,CD200" "Perdomo-Celis2017|10.3389/fimmu.2017.01241" "cytotoxic_umap.png" NA
"DC recruiters CD8 T" "Cytotoxic" "DC recruiters CD8 T" "CD8+ T cells can orchestrate the local recruitment of tonsil-resident XCR1+ DCs via secretion of the XCL1 chemokine. Functionally, this CD8+ T cell-mediated reorganization of the local DC network allows for the interaction and cooperation of pDCs and XCR1+ DCs. This cluster had as top markers CCL5, XCL2, XCL1 and CCL4. These markers confirmed their role in the recruitment of DCs (Brewitz et al., 2017)." "CD160,CCL5,XCL2,XCL1,CCL4" "Brewitz2017|10.1016/j.immuni.2017.01.003" "cytotoxic_umap.png" NA
"IFN+ CD8 T" "Cytotoxic" "IFN+ CD8 T" "This cluster had an expression of genes related with IFNg responses. The up-regulated genes were HLA-DRB1, IFIT3, IFIT5 and IFITM2." "HLA-DRB1,IFIT3,IFIT5,IFITM2" "Li2022|10.3389/fimmu.2022.1056144;Szabo2019|10.1038/s41467-019-12464-3" "cytotoxic_umap.png" NA
"non-Vδ2+ γδ T" "Cytotoxic" "non-Vδ2+ γδ T" "γδ T cells are a distinct subgroup of T cells containing T cell receptors (TCR) γ and δ chains. In this cluster we identified a clear signature of gd T cells: KLRD1, KLRC2, TRGC1, TRGC2 and TRDC (Pizzolato et al., 2019)." "KLRD1,KLRC2,TRGC1,TRGC2,TRDC" "Pizzolato2019|10.1073/pnas.1818488116" "cytotoxic_umap.png" NA
"MAIT/Vδ2+ γδ T" "Cytotoxic" "MAIT/Vδ2+ γδ T" "This cluster is a mix of MAIT cells (KLRB1, SLC4A10, ZBTB16, IL23R, IL18R1, CEPBD, CCR6, DPP4) and Vδ2Vγ9+ γδ T cells (TRDV2, TRDC, TRGC1, TRGC2, ZBTB16, KLRB1, IL18R1, DPP4) which share a similar phenotype and transcriptional profile (Provine et al., 2018; Wragg et al., 2020)." "KLRB1,SLC4A10,ZBTB16,IL23R,IL18R1,TRDV2,TRDC,TRGC1" "Provine2018|10.3389/fimmu.2018.00756;Wragg2020|10.1016/j.celrep.2020.107773" "cytotoxic_umap.png" NA
"ZNF683+ CD8 T" "Cytotoxic" "ZNF683+ CD8 T" "This cluster is CD8+, expresses ZNF683 (HOBIT), NCAM1 (CD56), GNLY, GZMB, tissue-resident memory T cell markers (ITGAE, ITGA1), and multiple NK cell receptors, including KLRC2 (NKG2C), KLRC3 (NKG2E), KLRD1 (CD94), and KIR2DL4. A ZNF683+ CD8 T cluster was also reported in the thymus atlas. (Park et al., 2020)" "ZNF683,NCAM1,GNLY,ITGAE,ITGA1,KLRC2,KLRC3" "Park2020|10.1126/science.aay3224" "cytotoxic_umap.png" NA
"CD16-CD56+ NK" "Cytotoxic" "CD16-CD56+ NK" "These cells have an immunoregulatory function, possess a strong ability to react to cytokine stimulation, are mainly found in secondary lymphoid organs, and have limited cytotoxic capacity. They are the precursors of CD16+CD56- NK cells. This cluster expressed KLRF1, NCAM1, SELL, TCF7, GZMK, and XCL1. (Boldt et al., 2014; Pfefferle et al. 2019; Poli et al. 2009)." "KLRF1,NCAM1,SELL,TCF7,GZMK,XCL1" "Boldt2014|10.1002/cyto.b.21162;Pfefferle2019|10.1101/630657;Poli2009|10.1111/j.1365-2567.2008.03027.x" "cytotoxic_umap.png" NA
"CD16-CD56dim NK" "Cytotoxic" "CD16-CD56dim NK" "An intermediate NK cell subtype between precursor (CD16-CD56+) and differentiated NK cells (CD16+CD56-). This cluster expressed KLRF1, XCL1, and XCL2. (Boldt et al., 2014; Pfefferle et al. 2019; Poli et al. 2009)." "KLRF1,XCL1,XCL2" "Boldt2014|10.1002/cyto.b.21162;Pfefferle2019|10.1101/630657;Poli2009|10.1111/j.1365-2567.2008.03027.x" "cytotoxic_umap.png" NA
"CD16+CD56- NK" "Cytotoxic" "CD16+CD56- NK" "Fully differentiated NK cells with high cytotoxic capacity. This cluster had a high expression of KLRF1, FCGR3A, CX3CR1, TBX21, and PRF1 (Boldt et al., 2014; Pfefferle et al. 2019; Poli et al. 2009)" "KLRF1,FCGR3A,CX3CR1,TBX21,PRF1" "Boldt2014|10.1002/cyto.b.21162;Pfefferle2019|10.1101/630657;Poli2009|10.1111/j.1365-2567.2008.03027.x" "cytotoxic_umap.png" NA
"ILC1" "Cytotoxic" "ILC1" "ILC1 are characterized by their capacity to produce IFNγ and they depend on the transcription factor T-bet. Contrary to NK cells, ILC1 express IL7R (CD127) and CD200R; and do not express KLRF1 (NKp80). Accordingly, this cluster expressed high levels of IL7R, CD200R1, CD69 and ANXA1; and did not express KLRF1 (Boldt et al., 2014; Vivier et al., 2018)." "IL7R,CD200R1,CD69,ANXA1" "Boldt2014|10.1002/cyto.b.21162;Vivier2019|10.1016/j.cell.2018.07.017" "cytotoxic_umap.png" NA
"NKp44+ ILC3" "Cytotoxic" "NKp44+ ILC3" "ILC3s depend on RORC for their development and function, and comprise subsets that can be distinguished on the basis of expression of the natural cytotoxicity receptors NKp46 and NKp44. The main cytokine produced by ILC3s is IL-22 and a proportion of ILC3s also produce IL-17. This cluster expressed RORC, IL23R and NCR2 (Nkp44; Boldt et al., 2014; Vivier et al., 2018)." "IL7R,RORC,IL23R,NCR2" "Boldt2014|10.1002/cyto.b.21162;Vivier2019|10.1016/j.cell.2018.07.017" "cytotoxic_umap.png" NA
"NKp44- ILC3" "Cytotoxic" "NKp44- ILC3" "ILC3s depend on RORC for their development and function, and comprise subsets that can be distinguished on the basis of expression of the natural cytotoxicity receptors NKp46 and NKp44. The main cytokine produced by ILC3s is IL-22 and a proportion of ILC3s also produce IL-17. This cluster expressed RORC, IL23R, but not NCR2 (Nkp44; Boldt et al., 2014; Vivier et al., 2018)." "IL7R,RORC,IL23R" "Boldt2014|10.1002/cyto.b.21162;Vivier2019|10.1016/j.cell.2018.07.017" "cytotoxic_umap.png" NA
"DN" "Cytotoxic" "DN" "Double negative T cells express the αβ T cell receptor but do not express CD4, CD8, or natural killer cell markers. This cluster had a profile of inflammatory and activated DN T cells expressing HLA-DRB1, HLA-DPA1, CD38 and GPR183 (Wu et al., 2022b)." "HLA-DRB1,HLA-DPA1,CD38,GPR183" "Wu2022|10.3389/fimmu.2022.816005" "cytotoxic_umap.png" NA
"NBC" "NBC_MBC" "NBC" "This is the main cluster of NBCs, with a clear and homogenous expression of FCER2 (CD23), TCLA1, IGHM and IGHD. This cluster seems to represent standard NBC lacking the expression of genes related to cell activation or commitment towards GC reaction. We would like to clarify that we performed a targeted search for two known NBC subpopulations that are expected to be present in tonsillar tissue, i.e. CD5 Mature NBCs and transitional B cells. However, CD5, a key marker to define these subpopulations, could not be detected by scRNA-seq. We also used alternative gene signatures defined by Seifert et al. (Seifert et al., 2012) but we could not detect any particular subcluster. Therefore, although we cannot rule out that CD5 Mature NBCs and transitional B cells are present in our dataset -probably within the standard NBC cluster-, we could not identify them." "FCER2,TCLA1,IGHM,IGHD" "Seifert2012|10.1084/jem.20120833" "nbc_mbc_umap.png" NA
"NBC early activation" "NBC_MBC" "NBC early activation" "Cells in this cluster show expression of typical NBC markers such as FCER2 (CD23), TCLA1, IGHM and IGHD. This cluster is transcriptionally very similar to standard NBCs, with the exception of a few genes related to B cell activation, such as CD69 and IL4R (Cibrián and Sánchez-Madrid, 2017; Ferrer et al., 2014). Therefore, these cells seem to represent the first step of NBC activation." "FCER2,TCLA1,IGHM,IGHD,CD69,IL4R" "Cibrián2017|10.1002/eji.201646837;Ferrer2014|10.1111/bjh.12645" "nbc_mbc_umap.png" NA
"NBC INF-activated" "NBC_MBC" "NBC INF-activated" "Cells in this cluster expressed typical NBC markers such as FCER2 (CD23), TCLA1, IGHM and IGHD. Several genes expressed exclusively by the cells in these clusters are associated with interferon induction, as for example ISG15, the IFIT gene family (i.e. or IFIT1, IFIT2 or IFIT3) family, IFI44, IFI44L and MX1. Thus, this cluster represents NBC cells that have been activated in response to interferon stimulation." "FCER2,TCLA1,IGHM,IGHD,ISG15,IFIT1,IFIT2,IFI44,IFI44L,MX1" NA "nbc_mbc_umap.png" NA
"NBC CD229+" "NBC_MBC" "NBC CD229+" "Cells in this cluster express typical NBC markers such as FCER2 (CD23), TCLA1, IGHM and IGHD. As compared to the standard NBC cluster, only few genes were differentially expressed. We identified two main markers, related to immune system and B cell biology that were specifically expressed within this cluster, i.e. LY9 (CD229), which has been shown to be highly expressed in marginal zone B cells (Cuenca et al., 2016) and LILRA4 (Cao and Bover, 2010), which actually is more relevant for plasmacytoid dendritic cells. Unfortunately, the lack of literature related to this particular combination of markers precluded us from assigning a biological function to this cluster." "FCER2,TCLA1,IGHM,IGHD,LY9,LILRA4" "Cuenca2016|10.4049/jimmunol.1501266" "nbc_mbc_umap.png" NA
"Early GC-committed NBC" "NBC_MBC" "Early GC-committed NBC" "Cells in this cluster express typical NBC markers such as FCER2 (CD23), TCLA1, IGHM and IGHD. This cluster is characterized by the expression of very specific genes that seem to correspond to early GC commitment due to the transient MYC upregulation (Dominguez-Sola et al., 2012). For instance, we observed high expression of EGR family (i.e. EGR1, EGR2, EGR3), transcription factors that are rapidly induced upon stimulation of the BCR (Gururajan et al., 2009); genes related to NF-kB pathway (i.e. NFKB1, NFKB2, NFKBIA, NFKBID, RELB; Stevenson et al., 2011); or proinflammatory chemokines i.e. CCL3 and CCL4 (Takahashi et al., 2015). Furthermore, in this cluster we identified high levels of bone-fide activation marker, i.e. CD69 (Cibrián et al., 2017). As this marker was also present at lower levels in the NBC early activation cluster, we hypothesize that these two clusters represent sequential steps of the NBC activation process towards the GC reaction" "FCER2,TCLA1,IGHM,IGHD,EGR1,EGR2,EGR3,NFKB1,NFKB2,NFKBIA,NFKBID,RELB,CCL3,CCL4" "Dominguez-Sola2012|10.1038/ni.2428;Gururajan2009|10.4049/jimmunol.181.7.4590;Stevenson2011|10.1182/blood-2011-06-338855;Takahashi2015|10.1111/bjh.13659;Cibrián2017|10.1002/eji.201646837" "nbc_mbc_umap.png" NA
"GC-committed NBC" "NBC_MBC" "GC-committed NBC" "Cells in this cluster express typical NBC markers such as FCER2 (CD23), TCLA1, IGHM and IGHD. This cluster seems to follow the Early GC-committed NBCs in the differentiation path between NBC and GCBCs. For instance, one of the main markers of this cluster is CCND2, which is a bona fide downstream target of MYC (a marker for early GC commitment, (Dominguez-Sola et al., 2012). It also maintains the expression of NF-kB pathway related genes. Furthermore, the cells in this cluster express genes associated with signaling pathways related to response to antigens, such as MIR155HG, TRAF1/4, EBI3, and BCL2A1. Finally, we observed upregulation of BATF, a gene known to be involved in the regulation of AID (AICDA) expression and thus antibody diversification in DZ-GCBCs (Ise et al., 2011). Although this cluster lacks any GC-related marker, it seems to represent a cell stage that is already committed to enter the GC reaction." "FCER2,TCLA1,IGHM,IGHD,CCND2,MIR155HG,TRAF1,TRAF4,EBI3,BCL2A1" "Dominguez-Sola2012|10.1038/ni.2428;Ise2011|10.1038/ni.2037" "nbc_mbc_umap.png" NA
"preGC" "NBC_MBC" "preGC" "Cells in this cluster express typical NBC markers such as FCER2 (CD23), TCLA1, IGHM and IGHD. As compared to the preceding clusters related to NBC activation, within this cluster we could detect the expression of GC-specific genes, such as RGS13 or MEF2B (King et al., 2021). However, these cells still partially maintain the NBC transcriptome and transcriptional programs started in the previous steps of NBC activation process (i.e. GC-committed NBC) such as the BATF expression. Additionally, this cluster still lacks other GC phenotypic genes, such as AICDA or BCL6. Therefore, we conclude that this subcluster may represent the last step of NBC activation before entering into the DZ and starting a proper GC reaction." "FCER2,TCLA1,IGHM,IGHD,RGS13,MEF2B,BATF" "King2021|10.1126/sciimmunol.abe6291" "nbc_mbc_umap.png" NA
"Proliferative NBC" "NBC_MBC" "Proliferative NBC" "Cells in this cluster express typical NBC markers such as FCER2 (CD23), TCLA1, IGHM and IGHD. This cluster is characterized by a proliferation signature, marked by high expression of MKI67, TOP2A, histone genes and genes related with chromosome segregation. Intriguingly, this cluster does not contain any marker related to GC, i.e. lack of expression of RGS13, MEF2B (the two expressed in preGC cluster), AICDA and BCL6. We therefore discarded that these cells were related to the GC-dependent maturation pathway of NBCs. Instead, we hypothesize that this population may correspond to primary focal reaction upon antigen stimulation (Jacob and Kelsoe, 1992), which leads to rapid generation of antibody-producing cells in a GC-independent manner." "FCER2,TCLA1,IGHM,IGHD,MKI67,TOP2A" "Jacob1992|10.1084/jem.176.3.679" "nbc_mbc_umap.png" NA
"Early MBC" "NBC_MBC" "Early MBC" "This cluster of the NBC/MBC level 1 cluster is CD27 positive, and therefore, we annotate it as MBC. However, this cluster does not have many specific markers, with the exception of e.g. low-medium levels of MEF2B, a GC marker. This might suggest that this cluster represents MBCs freshly generated from the GC reaction, and still contains traces of GC markers such as MEF2B (King et al., 2021)." "MS4A1,CD79A,CD79B,CD27,MEF2B" "King2021|10.1126/sciimmunol.abe6291" "nbc_mbc_umap.png" NA
"ncsMBC" "NBC_MBC" "ncsMBC" "This is one of the main clusters of MBCs, with clear expression of known markers such as CD27 and CD267. It is also characterized by high expression of IGHD and IGHM, and therefore, this cluster is classified as non-class switch MBC (ncsMBCs; Akkaya et al., 2020)." "MS4A1,CD79A,CD79B,CD27,TNFRSF13B,IGHD,IGHM" "Akkaya2020|10.1038/s41577-019-0244-2" "nbc_mbc_umap.png" NA
